theme,url,img,lines,author
CREATIVITY,/inspirational-quotes/5577-the-creative-is-the-place-where-no-one-else-has,https://assets.passiton.com/quotes/quote_artwork/5577/medium/20220114_friday_quote.jpg?1641588954,The creative is the place where no one else has ever been. You have to leave the city of your comfort and go into the wilderness of your intuition.,<Author:0x00007f3aedee9088>
CREATIVITY,/inspirational-quotes/7345-creativity-is-allowing-yourself-to-make,https://assets.passiton.com/quotes/quote_artwork/7345/medium/20220113_thursday_quote.jpg?1641588918,Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.,<Author:0x00007f3aedf26ac8>
CREATIVITY,/inspirational-quotes/7487-creativity-requires-the-courage-to-let-go-of,https://assets.passiton.com/quotes/quote_artwork/7487/medium/20220112_wednesday_quote.jpg?1641588894,Creativity requires the courage to let go of certainties.,<Author:0x00007f3aedf56b38>
HUMILITY,/inspirational-quotes/8295-i-am-the-me-i-choose-to-be,https://assets.passiton.com/quotes/quote_artwork/8295/medium/20220111_tuesday_quote.jpg?1641858930,I am the me I choose to be.,<Author:0x00007f3aedf807f8>
CREATIVITY,/inspirational-quotes/7809-creative-people-do-not-see-things-for-what-they,https://assets.passiton.com/quotes/quote_artwork/7809/medium/20220110_monday_quote.jpg?1641588841,Creative people do not see things for what they are; they see them for what they can be.,<Author:0x00007f3aedfb0a48>
HOPE,/inspirational-quotes/8291-there-was-never-a-night-or-a-problem-that-could,https://assets.passiton.com/quotes/quote_artwork/8291/medium/20220107_friday_quote.jpg?1640117070,There was never a night or a problem that could defeat sunrise or hope.,<Author:0x00007f3aedffb908>
HOPE,/inspirational-quotes/3560-hope-is-a-state-of-mind-not-of-the-world,https://assets.passiton.com/quotes/quote_artwork/3560/medium/20220106_thursday_quote.jpg?1640117035,"Hope is a state of mind, not of the world. Hope, in this deep and powerful sense, is not the same as joy that things are going well…, but rather an ability to work for something because it is good.",<Author:0x00007f3aee027878>
HOPE,/inspirational-quotes/6827-just-as-one-cannot-live-without-dreams-one,https://assets.passiton.com/quotes/quote_artwork/6827/medium/20220105_wednesday_quote.jpg?1640117008,"Just as one cannot live without dreams, one cannot live without hope. If dreams reflect the past, hope summons the future.",<Author:0x00007f3aee04a6c0>
HOPE,/inspirational-quotes/8290-we-have-always-held-to-the-hope-the-belief,https://assets.passiton.com/quotes/quote_artwork/8290/medium/20220104_tuesday_quote.jpg?1640116962,"We have always held to the hope, the belief, the conviction that there is a better life, a better world, beyond the horizon.",<Author:0x00007f3aee085608>
HOPE,/inspirational-quotes/7457-hope-smiles-from-the-threshold-of-the-year-to,https://assets.passiton.com/quotes/quote_artwork/7457/medium/20220103_monday_quote.jpg?1640116927,"Hope smiles from the threshold of the year to come, whispering 'it will be happier'...",<Author:0x00007f3aee0b83c8>
FAMILY,/inspirational-quotes/4770-what-greater-thing-is-there-for-human-souls,https://assets.passiton.com/quotes/quote_artwork/4770/medium/20211231_friday_quote.jpg?1640016040,What greater thing is there for human souls than to feel that they are joined for life - to be with each other in silent unspeakable memories.,<Author:0x00007f3aee112080>
FAMILY,/inspirational-quotes/8289-it-didn-t-matter-how-big-our-house-was-it,https://assets.passiton.com/quotes/quote_artwork/8289/medium/20211230_thursday_quote.jpg?1640016001,It didn’t matter how big our house was; it mattered that there was love in it.,<Author:0x00007f3aee1553f8>
FAMILY,/inspirational-quotes/7182-the-bond-that-links-your-true-family-is-not-one,https://assets.passiton.com/quotes/quote_artwork/7182/medium/20211229_wednesday_quote.jpg?1640015962,"The bond that links your true family is not one of blood, but of respect and joy in each other's life. Rarely do members of one family grow up under the same roof.",<Author:0x00007f3aee198270>
FAMILY,/inspirational-quotes/7183-having-somewhere-to-go-is-home-having-someone,https://assets.passiton.com/quotes/quote_artwork/7183/medium/20211228_tuesday_quote.jpg?1640015915,"Having somewhere to go is home, having someone to love is family, having both is blessing.",<Author:0x00007f3aee1e7730>
KINDNESS,/inspirational-quotes/5990-do-your-little-bit-of-good-where-you-are-its,https://assets.passiton.com/quotes/quote_artwork/5990/medium/20211227_monday_quote.jpg?1640575891,Do your little bit of good where you are; its those little bits of good put together that overwhelm the world.,<Author:0x00007f3aee22f0f8>
CHEER,/inspirational-quotes/6913-this-is-my-wish-for-you-peace-of-mind,https://assets.passiton.com/quotes/quote_artwork/6913/medium/20211224_friday_quote.jpg?1639774097,"This is my wish for you: peace of mind, prosperity through the year, happiness that multiplies, health for you and yours, fun around every corner, energy to chase your dreams, joy to fill your holidays!",<Author:0x00007f3aee2ab388>
CHEER,/inspirational-quotes/8288-laughing-cheerfulness-throws-the-light-of-day,https://assets.passiton.com/quotes/quote_artwork/8288/medium/20211223_thursday_quote.jpg?1639774056,Laughing cheerfulness throws the light of day on all the paths of life.,<Author:0x00007f3aee2e0d58>
CHEER,/inspirational-quotes/7847-after-every-storm-the-sun-will-smile-for-every,https://assets.passiton.com/quotes/quote_artwork/7847/medium/20211222_wednesday_quote.jpg?1639774026,"After every storm the sun will smile; for every problem there is a solution, and the soul's indefeasible duty is to be of good cheer.",<Author:0x00007f3aee334cf0>
CHEER,/inspirational-quotes/7848-i-say-to-myself-that-i-shall-try-to-make-my,https://assets.passiton.com/quotes/quote_artwork/7848/medium/20211221_tuesday_quote.jpg?1639773995,"I say to myself that I shall try to make my life like an open fireplace, so that people may be warmed and cheered by it and so go out themselves to warm and cheer.",<Author:0x00007f3aee373d60>
CHEER,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20211220_monday_quote.jpg?1639773966,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007f3aee3a3ee8>
GIVING BACK,/inspirational-quotes/8287-i-have-found-that-among-its-other-benefits,https://assets.passiton.com/quotes/quote_artwork/8287/medium/20211217_friday_quote.jpg?1639166550,"I have found that among its other benefits, giving liberates the soul of the giver.",<Author:0x00007f3aee3d1578>
GIVING BACK,/inspirational-quotes/6912-if-you-have-much-give-of-your-wealth-if-you,https://assets.passiton.com/quotes/quote_artwork/6912/medium/20211216_thursday_quote.jpg?1639166529,"If you have much, give of your wealth; if you have little, give of your heart.",<Author:0x00007f3aee42b028>
GIVING BACK,/inspirational-quotes/7739-remember-that-the-happiest-people-are-not-those,https://assets.passiton.com/quotes/quote_artwork/7739/medium/20211215_wednesday_quote.jpg?1639166501,"Remember that the happiest people are not those getting more, but those giving more.",<Author:0x00007f3aee45d500>
GIVING BACK,/inspirational-quotes/7239-the-greatest-good-you-can-do-for-another-is-not,https://assets.passiton.com/quotes/quote_artwork/7239/medium/20211214_tuesday_quote.jpg?1639166477,"The greatest good you can do for another is not just share your riches, but to reveal to them their own.",<Author:0x00007f3aee49c368>
GIVING BACK,/inspirational-quotes/8286-giving-is-not-just-about-making-a-donation-its,https://assets.passiton.com/quotes/quote_artwork/8286/medium/20211213_monday_quote.jpg?1639166451,"Giving is not just about making a donation, it's about making a difference.",<Author:0x00007f3aee4db270>
PEACE,/inspirational-quotes/7431-peace-is-the-result-of-retraining-your-mind-to,https://assets.passiton.com/quotes/quote_artwork/7431/medium/20211210_friday_quote.jpg?1638564725,"Peace is the result of retraining your mind to process life as it is, rather than as you think it should be.",<Author:0x00007f3aee526b80>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20211209_thursday_quote.jpg?1638564699,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007f3aee5660c8>
PEACE,/inspirational-quotes/7433-ultimately-we-have-just-one-moral-duty-to,https://assets.passiton.com/quotes/quote_artwork/7433/medium/20211208_wednesday_quote.jpg?1638564676,"Ultimately, we have just one moral duty: to reclaim large areas of peace in ourselves…,and to reflect it towards others. And the more peace there is in us, the more peace there will be in our troubled world.",<Author:0x00007f3aee5b1280>
PEACE,/inspirational-quotes/6910-it-is-tenderness-for-the-past-courage-for-the,https://assets.passiton.com/quotes/quote_artwork/6910/medium/20211206_monday_quote.jpg?1638564627,"It is tenderness for the past, courage for the present, hope for the future.  It is a fervent wish that every cup may overflow with blessings rich and eternal, and that every path may lead to peace.",<Author:0x00007f3aee5f77d0>
COMPASSION,/inspirational-quotes/8285-use-your-voice-for-kindness-your-ears-for,https://assets.passiton.com/quotes/quote_artwork/8285/medium/20211203_friday_quote.jpg?1637704870,"Use your voice for kindness, your ears for compassion, your hands for charity, your mind for truth, and your heart for love.",<Author:0x0000556cf79d5940>
COMPASSION,/inspirational-quotes/7233-fear-grows-out-of-the-things-we-think-it-lives,https://assets.passiton.com/quotes/quote_artwork/7233/medium/20211202_thursday_quote.jpg?1637704844,"Fear grows out of the things we think; it lives in our minds. Compassion grows out of the things we are, and lives in our hearts.",<Author:0x0000556cf871a150>
COMPASSION,/inspirational-quotes/8018-our-human-compassion-binds-us-the-one-to-the,https://assets.passiton.com/quotes/quote_artwork/8018/medium/20211201_wednesday_quote.jpg?1637704803,"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.",<Author:0x0000556cf8b661c8>
